Indicator Name,Indicator Code,Country Name,Country Code,Value_2022
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.115022186
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.805167545
Population growth (annual %),SP.POP.GROW,Chile,CHL,0.565514128
Population growth (annual %),SP.POP.GROW,China,CHN,-0.013099501
Population growth (annual %),SP.POP.GROW,Colombia,COL,0.691481571
Population growth (annual %),SP.POP.GROW,Comoros,COM,1.82699355
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.197835105
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.28055585
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,0.520031292
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.452703201
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.646581847
Population growth (annual %),SP.POP.GROW,Cuba,CUB,-0.393269983
Population growth (annual %),SP.POP.GROW,Curacao,CUW,-1.569658341
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,0.585013505
Population growth (annual %),SP.POP.GROW,Czechia,CZE,0.19305017
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.787502465
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.373715349
Population growth (annual %),SP.POP.GROW,Dominica,DMA,0.447816441
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,0.992978305
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.135599752
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,1.56907383
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.351368234
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,2.44420929
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,1.74475946
Population growth (annual %),SP.POP.GROW,Estonia,EST,1.034205877
Population growth (annual %),SP.POP.GROW,Eswatini,SWZ,0.785236419
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.542089203
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,0.379320886
Population growth (annual %),SP.POP.GROW,Fiji,FJI,0.55609146
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.285874176
Population growth (annual %),SP.POP.GROW,France,FRA,0.274205279
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,0.736349223
Population growth (annual %),SP.POP.GROW,Gabon,GAB,2.021687102
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.472147488
Population growth (annual %),SP.POP.GROW,Georgia,GEO,0.104889951
Population growth (annual %),SP.POP.GROW,Germany,DEU,1.056627141
Population growth (annual %),SP.POP.GROW,Ghana,GHA,1.938982944
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,-0.061238864
Population growth (annual %),SP.POP.GROW,Greece,GRC,-0.704367995
Population growth (annual %),SP.POP.GROW,Greenland,GRL,0.014120056
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.662275264
Population growth (annual %),SP.POP.GROW,Guam,GUM,0.7244969
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.439868495
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.390914134
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.152839304
Population growth (annual %),SP.POP.GROW,Guyana,GUY,0.515592544
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.193341956
Population growth (annual %),SP.POP.GROW,Honduras,HND,1.492118559
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,-0.907914524
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.272113417
Population growth (annual %),SP.POP.GROW,Iceland,ISL,2.486806658
Population growth (annual %),SP.POP.GROW,India,IND,0.680372581
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,0.636555115
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,0.710745643
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.186916934
Population growth (annual %),SP.POP.GROW,Ireland,IRL,1.0636896
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,0.303350116
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.965667853
Population growth (annual %),SP.POP.GROW,Italy,ITA,-0.428632459
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,-0.011246541
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.443851919
Population growth (annual %),SP.POP.GROW,Jordan,JOR,1.226636566
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,3.215898096
Population growth (annual %),SP.POP.GROW,Kenya,KEN,1.909510311
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.813156636
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,0.37472956
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,-0.225898557
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,-1.35587444
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,0.440405187
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,1.652489234
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.396495684
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-0.058972328
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,-1.856912493
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,1.062557097
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2.082087222
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.137688282
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.735015942
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,1.141720569
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,1.659425236
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,1.239146684
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.37869515
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2.559138271
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.079363741
Population growth (annual %),SP.POP.GROW,Maldives,MDV,0.445829655
Population growth (annual %),SP.POP.GROW,Mali,MLI,3.095209254
Population growth (annual %),SP.POP.GROW,Malta,MLT,0.93690132
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,-1.150468925
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,2.591601268
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,-0.301401217
Population growth (annual %),SP.POP.GROW,Mexico,MEX,0.628607803
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,0.908957181
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-0.872640471
Population growth (annual %),SP.POP.GROW,Monaco,MCO,-0.593262624
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,1.499669086
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,-0.494103987
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.023391979
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,2.744193061
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.706117427
Population growth (annual %),SP.POP.GROW,Namibia,NAM,1.446359184
Population growth (annual %),SP.POP.GROW,Nauru,NRU,1.247087134
Population growth (annual %),SP.POP.GROW,Nepal,NPL,1.692246601
Population growth (annual %),SP.POP.GROW,Netherlands,NLD,0.965187158
Population growth (annual %),SP.POP.GROW,New Caledonia,NCL,0.76889977
Population growth (annual %),SP.POP.GROW,New Zealand,NZL,0.248156055
Population growth (annual %),SP.POP.GROW,Nicaragua,NIC,1.418278462
Population growth (annual %),SP.POP.GROW,Niger,NER,3.712987818
Population growth (annual %),SP.POP.GROW,Nigeria,NGA,2.380007155
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,-0.359612891
Population growth (annual %),SP.POP.GROW,Northern Mariana Islands,MNP,0.14136847
Population growth (annual %),SP.POP.GROW,Norway,NOR,0.898395221
Population growth (annual %),SP.POP.GROW,Oman,OMN,1.227418238
Population growth (annual %),SP.POP.GROW,Pakistan,PAK,1.893245598
Population growth (annual %),SP.POP.GROW,Palau,PLW,0.17184516
Population growth (annual %),SP.POP.GROW,Panama,PAN,1.308580191
Population growth (annual %),SP.POP.GROW,Papua New Guinea,PNG,1.923028218
Population growth (annual %),SP.POP.GROW,Paraguay,PRY,1.141244982
Population growth (annual %),SP.POP.GROW,Peru,PER,0.986112054
Population growth (annual %),SP.POP.GROW,Philippines,PHL,1.46331573
Population growth (annual %),SP.POP.GROW,Poland,POL,-0.492706204
Population growth (annual %),SP.POP.GROW,Portugal,PRT,0.520283239
Population growth (annual %),SP.POP.GROW,Puerto Rico,PRI,-1.261613265
Population growth (annual %),SP.POP.GROW,Qatar,QAT,0.255862792
Population growth (annual %),SP.POP.GROW,Romania,ROU,-0.857299397
Population growth (annual %),SP.POP.GROW,Russian Federation,RUS,0.07417989
Population growth (annual %),SP.POP.GROW,Rwanda,RWA,2.311603239
Population growth (annual %),SP.POP.GROW,Samoa,WSM,1.640310066
Population growth (annual %),SP.POP.GROW,San Marino,SMR,-0.252206943
Population growth (annual %),SP.POP.GROW,Sao Tome and Principe,STP,1.897114969
Population growth (annual %),SP.POP.GROW,Saudi Arabia,SAU,1.267095358
Population growth (annual %),SP.POP.GROW,Senegal,SEN,2.572170153
Population growth (annual %),SP.POP.GROW,Serbia,SRB,-1.092209542
Population growth (annual %),SP.POP.GROW,Seychelles,SYC,0.804748521
Population growth (annual %),SP.POP.GROW,Sierra Leone,SLE,2.174091242
Population growth (annual %),SP.POP.GROW,Singapore,SGP,3.308620524
Population growth (annual %),SP.POP.GROW,Sint Maarten (Dutch part),SXM,1.259366096
Population growth (annual %),SP.POP.GROW,Slovak Republic,SVK,-0.28486096
Population growth (annual %),SP.POP.GROW,Slovenia,SVN,0.030971272
Population growth (annual %),SP.POP.GROW,Solomon Islands,SLB,2.293477357
Population growth (annual %),SP.POP.GROW,Somalia,SOM,3.069384352
Population growth (annual %),SP.POP.GROW,South Africa,ZAF,0.841058244
Population growth (annual %),SP.POP.GROW,South Sudan,SSD,1.52247695
Population growth (annual %),SP.POP.GROW,Spain,ESP,0.419409972
Population growth (annual %),SP.POP.GROW,Sri Lanka,LKA,0.11277264
Population growth (annual %),SP.POP.GROW,St. Kitts and Nevis,KNA,0.107072011
Population growth (annual %),SP.POP.GROW,St. Lucia,LCA,0.114601078
Population growth (annual %),SP.POP.GROW,St. Martin (French part),MAF,-0.492635019
Population growth (annual %),SP.POP.GROW,St. Vincent and the Grenadines,VCT,-0.368734814
Population growth (annual %),SP.POP.GROW,Sudan,SDN,2.630614261
Population growth (annual %),SP.POP.GROW,Suriname,SUR,0.821271447
Population growth (annual %),SP.POP.GROW,Sweden,SWE,0.680582868
Population growth (annual %),SP.POP.GROW,Switzerland,CHE,0.759294505
Population growth (annual %),SP.POP.GROW,Syrian Arab Republic,SYR,3.68690356
Population growth (annual %),SP.POP.GROW,Tajikistan,TJK,2.057876336
Population growth (annual %),SP.POP.GROW,Tanzania,TZA,2.958573452
Population growth (annual %),SP.POP.GROW,Thailand,THA,0.133884528
Population growth (annual %),SP.POP.GROW,Timor-Leste,TLS,1.52911923
Population growth (annual %),SP.POP.GROW,Togo,TGO,2.330910384
Population growth (annual %),SP.POP.GROW,Tonga,TON,0.790139167
Population growth (annual %),SP.POP.GROW,Trinidad and Tobago,TTO,0.352078597
Population growth (annual %),SP.POP.GROW,Tunisia,TUN,0.756904882
Population growth (annual %),SP.POP.GROW,Turkiye,TUR,0.665236593
Population growth (annual %),SP.POP.GROW,Turkmenistan,TKM,1.392296984
Population growth (annual %),SP.POP.GROW,Turks and Caicos Islands,TCA,1.297132164
Population growth (annual %),SP.POP.GROW,Tuvalu,TUV,0.959325176
Population growth (annual %),SP.POP.GROW,Uganda,UGA,2.99862764
Population growth (annual %),SP.POP.GROW,Ukraine,UKR,-14.18845165
Population growth (annual %),SP.POP.GROW,United Arab Emirates,ARE,0.808075151
Population growth (annual %),SP.POP.GROW,United Kingdom,GBR,-0.081925285
Population growth (annual %),SP.POP.GROW,United States,USA,0.377564531
Population growth (annual %),SP.POP.GROW,Uruguay,URY,-0.101211066
Population growth (annual %),SP.POP.GROW,Uzbekistan,UZB,2.077644911
Population growth (annual %),SP.POP.GROW,Vanuatu,VUT,2.354426992
Population growth (annual %),SP.POP.GROW,"Venezuela, RB",VEN,0.360447056
Population growth (annual %),SP.POP.GROW,Vietnam,VNM,0.734794058
Population growth (annual %),SP.POP.GROW,Virgin Islands (U.S.),VIR,-0.43259582
Population growth (annual %),SP.POP.GROW,West Bank and Gaza,PSE,2.425537776
Population growth (annual %),SP.POP.GROW,"Yemen, Rep.",YEM,2.144628421
Population growth (annual %),SP.POP.GROW,Zambia,ZMB,2.758032343
Population growth (annual %),SP.POP.GROW,Zimbabwe,ZWE,2.02403631
Population growth (annual %),SP.POP.GROW,Africa Eastern and Southern,AFE,2.540937372
Population growth (annual %),SP.POP.GROW,Africa Western and Central,AFW,2.539799442
Population growth (annual %),SP.POP.GROW,Arab World,ARB,1.78833854
Population growth (annual %),SP.POP.GROW,Caribbean small states,CSS,0.315442235
Population growth (annual %),SP.POP.GROW,Central Europe and the Baltics,CEB,-0.751817872
Population growth (annual %),SP.POP.GROW,Early-demographic dividend,EAR,1.051127778
Population growth (annual %),SP.POP.GROW,East Asia & Pacific,EAS,0.208690901
Population growth (annual %),SP.POP.GROW,East Asia & Pacific (excluding high income),EAP,0.258223376
Population growth (annual %),SP.POP.GROW,East Asia & Pacific (IDA & IBRD countries),TEA,0.256778116
Population growth (annual %),SP.POP.GROW,Euro area,EMU,0.423031775
Population growth (annual %),SP.POP.GROW,Europe & Central Asia,ECS,-0.301919751
Population growth (annual %),SP.POP.GROW,Europe & Central Asia (excluding high income),ECA,-1.007191386
Population growth (annual %),SP.POP.GROW,Europe & Central Asia (IDA & IBRD countries),TEC,-0.955688461
Population growth (annual %),SP.POP.GROW,European Union,EUU,0.173587895
Population growth (annual %),SP.POP.GROW,Fragile and conflict affected situations,FCS,1.729344321
Population growth (annual %),SP.POP.GROW,Heavily indebted poor countries (HIPC),HPC,2.686106465
Population growth (annual %),SP.POP.GROW,High income,HIC,0.292402248
Population growth (annual %),SP.POP.GROW,IBRD only,IBD,0.389115547
Population growth (annual %),SP.POP.GROW,IDA & IBRD total,IBT,0.881005439
Population growth (annual %),SP.POP.GROW,IDA blend,IDB,2.137746941
Population growth (annual %),SP.POP.GROW,IDA only,IDX,2.258720483
Population growth (annual %),SP.POP.GROW,IDA total,IDA,2.218731672
Population growth (annual %),SP.POP.GROW,Late-demographic dividend,LTE,0.15509867
Population growth (annual %),SP.POP.GROW,Latin America & Caribbean,LCN,0.661133418
Population growth (annual %),SP.POP.GROW,Latin America & Caribbean (excluding high income),LAC,0.690885616
Population growth (annual %),SP.POP.GROW,Latin America & the Caribbean (IDA & IBRD countries),TLA,0.690572758
Population growth (annual %),SP.POP.GROW,Least developed countries: UN classification,LDC,2.329176078
Population growth (annual %),SP.POP.GROW,Low & middle income,LMY,0.895296546
Population growth (annual %),SP.POP.GROW,Low income,LIC,2.696520525
Population growth (annual %),SP.POP.GROW,Lower middle income,LMC,1.034470757
Population growth (annual %),SP.POP.GROW,Middle East & North Africa,MEA,1.459744179
Population growth (annual %),SP.POP.GROW,Middle East & North Africa (excluding high income),MNA,1.502504977
Population growth (annual %),SP.POP.GROW,Middle East & North Africa (IDA & IBRD countries),TMN,1.49115284
Population growth (annual %),SP.POP.GROW,Middle income,MIC,0.687274148
Population growth (annual %),SP.POP.GROW,North America,NAC,0.529046606
Population growth (annual %),SP.POP.GROW,Not classified,INX,..
Population growth (annual %),SP.POP.GROW,OECD members,OED,0.369370323
Population growth (annual %),SP.POP.GROW,Other small states,OSS,1.30855563
Population growth (annual %),SP.POP.GROW,Pacific island small states,PSS,1.415970422
Population growth (annual %),SP.POP.GROW,Post-demographic dividend,PST,-0.279957396
Population growth (annual %),SP.POP.GROW,Pre-demographic dividend,PRE,2.667479436
Population growth (annual %),SP.POP.GROW,Small states,SST,1.141449961
Population growth (annual %),SP.POP.GROW,South Asia,SAS,0.916782671
Population growth (annual %),SP.POP.GROW,South Asia (IDA & IBRD),TSA,0.916782671
Population growth (annual %),SP.POP.GROW,Sub-Saharan Africa,SSF,2.540476689
Population growth (annual %),SP.POP.GROW,Sub-Saharan Africa (excluding high income),SSA,2.540622288
Population growth (annual %),SP.POP.GROW,Sub-Saharan Africa (IDA & IBRD countries),TSS,2.540476689
Population growth (annual %),SP.POP.GROW,Upper middle income,UMC,0.292394652
Population growth (annual %),SP.POP.GROW,World,WLD,0.79851624
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Afghanistan,AFG,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Albania,ALB,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Algeria,DZA,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,American Samoa,ASM,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Andorra,AND,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Angola,AGO,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Antigua and Barbuda,ATG,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Argentina,ARG,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Armenia,ARM,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Aruba,ABW,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Australia,AUS,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Austria,AUT,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Azerbaijan,AZE,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,"Bahamas, The",BHS,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bahrain,BHR,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bangladesh,BGD,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Barbados,BRB,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Belarus,BLR,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Belgium,BEL,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Belize,BLZ,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Benin,BEN,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bermuda,BMU,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bhutan,BTN,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bolivia,BOL,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bosnia and Herzegovina,BIH,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Botswana,BWA,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Brazil,BRA,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,British Virgin Islands,VGB,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Brunei Darussalam,BRN,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bulgaria,BGR,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Burkina Faso,BFA,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Burundi,BDI,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Cabo Verde,CPV,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Cambodia,KHM,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Cameroon,CMR,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Canada,CAN,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Cayman Islands,CYM,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Central African Republic,CAF,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Chad,TCD,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Channel Islands,CHI,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Chile,CHL,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,China,CHN,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Colombia,COL,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Comoros,COM,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,"Congo, Dem. Rep.",COD,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,"Congo, Rep.",COG,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Costa Rica,CRI,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Cote d'Ivoire,CIV,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Croatia,HRV,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Cuba,CUB,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Curacao,CUW,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Cyprus,CYP,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Czechia,CZE,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Denmark,DNK,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Djibouti,DJI,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Dominica,DMA,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Dominican Republic,DOM,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Ecuador,ECU,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,"Egypt, Arab Rep.",EGY,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,El Salvador,SLV,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Equatorial Guinea,GNQ,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Eritrea,ERI,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Estonia,EST,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Eswatini,SWZ,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Ethiopia,ETH,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Faroe Islands,FRO,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Fiji,FJI,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Finland,FIN,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,France,FRA,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,French Polynesia,PYF,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Gabon,GAB,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,"Gambia, The",GMB,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Georgia,GEO,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Germany,DEU,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Ghana,GHA,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Gibraltar,GIB,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Greece,GRC,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Greenland,GRL,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Grenada,GRD,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Guam,GUM,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Guatemala,GTM,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Guinea,GIN,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Guinea-Bissau,GNB,..
